run_id,obstacle_distance_m,heading_error_deg,lateral_error_m,cmd_forward_mps,cmd_lateral,cmd_yaw,forward_speed_mps,lateral_speed_mps,yaw_rate_dps,tilt_deg
speed_d055_yawm08_v020,0.55,-8.0,0.0,0.20,0.0,0.0,0.20,0.0,0.0,0.0
speed_d055_yaw0_v020,0.55,0.0,0.0,0.20,0.0,0.0,0.20,0.0,0.0,0.0
speed_d055_yawp08_v020,0.55,8.0,0.0,0.20,0.0,0.0,0.20,0.0,0.0,0.0
speed_d060_yawm08_v020,0.60,-8.0,0.0,0.20,0.0,0.0,0.20,0.0,0.0,0.0
speed_d060_yaw0_v020,0.60,0.0,0.0,0.20,0.0,0.0,0.20,0.0,0.0,0.0
speed_d060_yawp08_v020,0.60,8.0,0.0,0.20,0.0,0.0,0.20,0.0,0.0,0.0
speed_d065_yawm08_v020,0.65,-8.0,0.0,0.20,0.0,0.0,0.20,0.0,0.0,0.0
speed_d065_yaw0_v020,0.65,0.0,0.0,0.20,0.0,0.0,0.20,0.0,0.0,0.0
speed_d065_yawp08_v020,0.65,8.0,0.0,0.20,0.0,0.0,0.20,0.0,0.0,0.0
speed_d055_yawm08_v030,0.55,-8.0,0.0,0.30,0.0,0.0,0.30,0.0,0.0,0.0
speed_d055_yaw0_v030,0.55,0.0,0.0,0.30,0.0,0.0,0.30,0.0,0.0,0.0
speed_d055_yawp08_v030,0.55,8.0,0.0,0.30,0.0,0.0,0.30,0.0,0.0,0.0
speed_d060_yawm08_v030,0.60,-8.0,0.0,0.30,0.0,0.0,0.30,0.0,0.0,0.0
speed_d060_yaw0_v030,0.60,0.0,0.0,0.30,0.0,0.0,0.30,0.0,0.0,0.0
speed_d060_yawp08_v030,0.60,8.0,0.0,0.30,0.0,0.0,0.30,0.0,0.0,0.0
speed_d065_yawm08_v030,0.65,-8.0,0.0,0.30,0.0,0.0,0.30,0.0,0.0,0.0
speed_d065_yaw0_v030,0.65,0.0,0.0,0.30,0.0,0.0,0.30,0.0,0.0,0.0
speed_d065_yawp08_v030,0.65,8.0,0.0,0.30,0.0,0.0,0.30,0.0,0.0,0.0
speed_d055_yawm08_v040,0.55,-8.0,0.0,0.40,0.0,0.0,0.40,0.0,0.0,0.0
speed_d055_yaw0_v040,0.55,0.0,0.0,0.40,0.0,0.0,0.40,0.0,0.0,0.0
speed_d055_yawp08_v040,0.55,8.0,0.0,0.40,0.0,0.0,0.40,0.0,0.0,0.0
speed_d060_yawm08_v040,0.60,-8.0,0.0,0.40,0.0,0.0,0.40,0.0,0.0,0.0
speed_d060_yaw0_v040,0.60,0.0,0.0,0.40,0.0,0.0,0.40,0.0,0.0,0.0
speed_d060_yawp08_v040,0.60,8.0,0.0,0.40,0.0,0.0,0.40,0.0,0.0,0.0
speed_d065_yawm08_v040,0.65,-8.0,0.0,0.40,0.0,0.0,0.40,0.0,0.0,0.0
speed_d065_yaw0_v040,0.65,0.0,0.0,0.40,0.0,0.0,0.40,0.0,0.0,0.0
speed_d065_yawp08_v040,0.65,8.0,0.0,0.40,0.0,0.0,0.40,0.0,0.0,0.0
