frame,timestamp,x,y,z,qx,qy,qz,qw
0.000000000000000000e+00,1.789366816549999952e+09,-5.294949000000000183e-03,4.249903999999999661e-03,-2.632295000000000208e-03,1.264692999999999894e-03,3.920959999999999810e-04,2.911459999999999938e-04,9.999990810000000119e-01
1.000000000000000000e+00,1.789366827249994278e+09,7.944008439999999949e-01,-1.589581199999999875e-02,1.604535699999999968e-02,-1.874269999999999929e-03,-1.029100699999999959e-02,-1.072295600000000050e-02,9.998877940000000519e-01
2.000000000000000000e+00,1.789366829351105928e+09,1.610190731000000097e+00,-1.263527300000000068e-02,4.199604800000000110e-02,-7.829788000000000719e-03,-1.241729199999999991e-02,1.074038259999999939e-01,9.941070990000000496e-01
3.000000000000000000e+00,1.789366830950618982e+09,2.401997103999999883e+00,1.866543149999999873e-01,7.478935000000000444e-02,-4.593934000000000038e-03,-1.662681999999999962e-03,1.912397710000000028e-01,9.815311920000000523e-01
4.000000000000000000e+00,1.789366832450088978e+09,3.170200331000000205e+00,5.140340789999999771e-01,8.248137099999999777e-02,-1.109897200000000035e-02,-1.481258199999999949e-02,2.695117080000000165e-01,9.628192140000000343e-01
5.000000000000000000e+00,1.789366833850040197e+09,3.819897479000000207e+00,1.014421626000000076e+00,9.656490299999999360e-02,-3.309725999999999814e-03,4.531358000000000087e-03,3.273443850000000155e-01,9.448884410000000234e-01
6.000000000000000000e+00,1.789366835050001144e+09,4.564800718999999951e+00,1.471358549999999932e+00,9.077189200000000679e-02,1.014553000000000069e-03,-6.365388999999999943e-03,2.389371610000000090e-01,9.710136379999999567e-01
7.000000000000000000e+00,1.789366836150004148e+09,5.375839746999999669e+00,1.787186329000000073e+00,1.106687920000000019e-01,-4.039123000000000366e-03,1.378171700000000062e-02,1.711137940000000135e-01,9.851465980000000400e-01
8.000000000000000000e+00,1.789366837249986887e+09,6.160639406999999679e+00,2.058734924999999993e+00,1.117345220000000028e-01,-2.318475999999999870e-03,8.997165999999999150e-03,1.658454149999999960e-01,9.861079929999999605e-01
9.000000000000000000e+00,1.789366838350006819e+09,6.997576089999999915e+00,2.232486777000000089e+00,1.016719860000000059e-01,5.930676999999999650e-03,9.824930000000000815e-03,-1.648591000000000032e-03,9.999327879999999613e-01
1.000000000000000000e+01,1.789366839449995279e+09,7.834089810000000043e+00,2.207811375999999992e+00,1.001079559999999979e-01,2.704185000000000009e-03,1.414977499999999985e-02,-2.674455699999999866e-02,9.995384929999999724e-01
1.100000000000000000e+01,1.789366840449998140e+09,8.669760946000000246e+00,2.144440651000000031e+00,8.236362099999999797e-02,2.028780999999999900e-03,1.577626899999999902e-02,-4.241896199999999756e-02,9.989732850000000441e-01
1.200000000000000000e+01,1.789366841450010061e+09,9.521404339000000050e+00,2.069152893000000049e+00,6.988826400000000549e-02,2.898353000000000214e-03,1.789697900000000036e-02,-4.245197099999999807e-02,9.989339959999999907e-01
