t,cpu_11395,rss_mib_11395,cpu_11351,rss_mib_11351,rx_mbit_s,tx_mbit_s
3572.2,20.99,61.4,1.00,50.8,164.51,0.48
3573.2,22.93,61.4,0.00,50.8,164.15,68516.37
3574.3,20.94,61.4,1.00,50.8,164.09,0.76
3575.3,21.94,61.4,1.00,50.8,164.04,0.44
3576.3,20.94,61.4,0.00,50.8,164.06,0.63
3577.3,20.94,61.4,1.00,50.8,164.07,0.81
3578.3,20.94,61.4,0.00,50.8,164.17,68509.70
3579.3,22.93,61.4,1.00,50.8,164.19,0.63
3580.3,20.93,61.4,1.00,50.8,164.18,0.80
3581.3,22.93,61.4,0.00,50.8,164.03,0.43
3582.3,21.93,61.4,1.00,50.8,164.19,0.64
3583.3,19.94,61.4,0.00,50.8,164.09,0.82
3584.3,21.93,61.4,1.00,50.8,164.13,68514.81
3585.3,20.93,61.4,0.00,50.8,164.08,0.65
3586.3,23.92,61.4,1.00,50.8,164.03,0.80
3587.3,22.93,61.4,1.00,50.8,164.04,0.44
3588.3,22.93,61.4,0.00,50.8,164.22,0.62
3589.3,21.93,61.4,1.00,50.8,164.16,68510.76
3590.3,22.93,61.4,1.00,50.8,164.00,0.47
3591.3,21.93,61.4,0.00,50.8,164.26,0.63
3592.3,22.93,61.4,1.00,50.8,164.12,0.78
3593.3,24.92,61.4,0.00,50.8,163.99,0.46
3594.3,21.93,61.4,0.00,50.8,164.10,68511.42
3595.3,21.97,61.4,2.00,50.8,164.47,0.79
3596.3,24.92,61.4,0.00,50.8,166.47,0.47
3597.3,22.93,61.4,1.00,50.8,166.98,0.64
3598.3,22.93,61.4,0.00,50.8,166.16,0.78
3599.3,23.93,61.4,1.00,50.8,167.93,0.45
3600.3,21.93,61.4,0.00,50.8,164.20,68487.92
3601.3,23.92,63.7,0.00,50.8,164.10,0.78
3602.3,22.93,65.1,1.00,50.8,164.31,0.44
3603.3,25.92,61.3,1.00,50.8,164.30,0.63
3604.3,22.93,61.3,0.00,50.8,164.34,0.79
3605.3,21.98,61.3,1.00,50.8,164.75,34328.33
3606.3,22.93,61.3,0.00,50.8,164.50,34260.71
3607.3,22.93,61.3,1.00,50.8,164.33,0.80
3608.4,21.93,61.3,0.00,50.8,164.42,0.45
3609.4,22.93,61.3,1.00,50.8,164.28,0.61
3610.4,23.93,61.3,1.00,50.8,164.42,0.80
3611.4,20.94,61.3,0.00,50.8,164.46,68522.46
3612.4,22.90,61.3,1.00,50.8,164.06,0.61
3613.4,21.94,61.3,0.00,50.8,164.33,0.78
3614.4,21.93,61.3,1.00,50.8,164.37,0.44
3615.4,22.93,61.3,1.00,50.8,164.29,0.63
3616.4,21.93,61.3,0.00,50.8,164.43,68504.27
3617.4,21.93,61.3,1.00,50.8,164.26,0.44
3618.4,21.93,61.3,0.00,50.8,164.39,0.61
3619.4,22.93,61.3,1.00,50.8,164.08,0.76
3620.4,20.93,61.3,1.00,50.8,164.23,0.47
3621.4,21.93,61.3,1.00,50.8,164.02,0.63
3622.4,20.93,61.3,0.00,50.8,164.34,68494.45
3623.4,22.93,61.3,1.00,50.8,164.11,0.44
3624.4,22.92,61.3,0.00,50.8,164.27,0.64
