job,recording_id,start_s,end_s,phase_candidate,samples,reference_valid_fraction,root_z_enabled_fraction,contact_truth,outcome
145331_flight2,gait_20260909_145331_616f9d8038d9,29,39.5,landing_approach,2090,1.0,0.7464114832535885,False,unconfirmed
145331_flight2,gait_20260909_145331_616f9d8038d9,39.5,55,stairs_up,3100,1.0,0.9606451612903226,False,unconfirmed
145331_flight2,gait_20260909_145331_616f9d8038d9,55,59,landing,790,1.0,1.0,False,unconfirmed
145331_flight3,gait_20260909_145331_616f9d8038d9,59,68,landing_approach,1790,1.0,1.0,False,unconfirmed
145331_flight3,gait_20260909_145331_616f9d8038d9,68,86.5,stairs_up,3700,1.0,0.8002702702702703,False,unconfirmed
145331_flight3,gait_20260909_145331_616f9d8038d9,86.5,93.2,landing,1310,1.0,0.0,False,unconfirmed
152557_down,gait_20260909_152557_7ddbfc67c108,0,8.5,approach,1689,1.0,0.0,False,unconfirmed
152557_down,gait_20260909_152557_7ddbfc67c108,8.5,39.5,stairs_down,6200,1.0,0.8690322580645161,False,unconfirmed
152557_down,gait_20260909_152557_7ddbfc67c108,39.5,40.396,interruption_context,171,0.0,0.0,False,unconfirmed
154654_up,gait_20260909_154654_65c5ae680a24,0,11.5,approach,571,1.0,1.0,False,unconfirmed
154654_up,gait_20260909_154654_65c5ae680a24,11.5,34,stairs_up,1125,0.8488888888888889,0.5013333333333333,False,unconfirmed
154654_up,gait_20260909_154654_65c5ae680a24,34,52.89,landing_or_adjustment,944,0.989406779661017,0.3697033898305085,False,unconfirmed
154856_up_down,gait_20260909_154856_5809460fe5ab,0,19.5,approach,971,1.0,1.0,False,unconfirmed
154856_up_down,gait_20260909_154856_5809460fe5ab,19.5,36.5,stairs_up,850,0.7411764705882353,0.54,False,unconfirmed
154856_up_down,gait_20260909_154856_5809460fe5ab,36.5,42,landing_turn,275,0.9454545454545454,0.9381818181818182,False,unconfirmed
154856_up_down,gait_20260909_154856_5809460fe5ab,42,48.5,stairs_down,325,1.0,0.7384615384615385,False,unconfirmed
154856_up_down,gait_20260909_154856_5809460fe5ab,48.5,55,landing,325,0.9538461538461539,0.8553846153846154,False,unconfirmed
154856_up_down,gait_20260909_154856_5809460fe5ab,55,65.5,stairs_down,525,0.8285714285714286,0.2857142857142857,False,unconfirmed
154856_up_down,gait_20260909_154856_5809460fe5ab,65.5,84.12,exit,924,1.0,0.9491341991341992,False,unconfirmed
