recording_id,topic,type,count,manifest_count,source_start_s,source_end_s,receive_start_s,receive_end_s,source_start_ns,source_end_ns,receive_start_ns,receive_end_ns,source_dt_s,receive_dt_s,receive_minus_source_s,source_nonincreasing,source_missing,nonfinite_values,source_median_hz,source_mean_hz,source_gap_threshold_s,source_long_gap_count,receive_stall_count
gait_20260909_144907_fd57c06d30d3,/HANDLE_STEER,drdds/msg/Steer,1113,1113,6.422686518,123.539345253,3.319143671,119.939940829,1788936553573297619,1788936670689956354,1788936550469754772,1788936667090551930,"{""min"": 3.4834e-05, ""median"": 8.09865e-05, ""p95"": 1.0000806591, ""max"": 16.016369629}","{""min"": 0.004756193, ""median"": 0.080659854, ""p95"": 0.09573823660000007, ""max"": 16.370791566}","{""min"": -3.679638755, ""median"": -3.10247152, ""p95"": -2.673987313, ""max"": -2.572559467}",0,0,0,12347.736968507097,9.494806392283815,0.1,97,15
gait_20260909_144907_fd57c06d30d3,/IMU,sensor_msgs/msg/Imu,24003,24003,-0.022611101,119.987388899,0.0097944,119.998620003,1788936547128000000,1788936667138000000,1788936547160405501,1788936667149231104,"{""min"": 0.005, ""median"": 0.005, ""p95"": 0.005, ""max"": 0.005}","{""min"": 0.0008608, ""median"": 0.004970429, ""p95"": 0.008163375700000001, ""max"": 0.253150182}","{""min"": 0.009271131, ""median"": 0.011501104, ""p95"": 0.06056479369999999, ""max"": 0.378376555}",0,0,0,200.0,200.0,0.1,0,2
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA,drdds/msg/JointsData,24004,24004,-0.01397267,120.001025972,-0.012065633,120.002539364,1788936547136638431,1788936667151637073,1788936547138545468,1788936667153150465,"{""min"": 0.002520291, ""median"": 0.005000042, ""p95"": 0.005011417, ""max"": 0.007478043}","{""min"": 0.00091952, ""median"": 0.004974144, ""p95"": 0.009187339199999983, ""max"": 0.29668056}","{""min"": 0.000847165, ""median"": 0.0016403174999999998, ""p95"": 0.0514219664, ""max"": 0.370996412}",0,0,0,199.9983200141119,200.00000226305048,0.1,0,2
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA_10HZ,drdds/msg/JointsData,1200,1200,0.026028251,119.926038173,0.031200034,119.92864134,1788936547176639352,1788936667076649274,1788936547181811135,1788936667079252441,"{""min"": 0.099873093, ""median"": 0.099999969, ""p95"": 0.100010177, ""max"": 0.100123343}","{""min"": 0.016856476, ""median"": 0.099982266, ""p95"": 0.10763416359999987, ""max"": 0.348763108}","{""min"": 0.001010714, ""median"": 0.002556983, ""p95"": 0.023804456449999976, ""max"": 0.251044909}",0,0,0,10.000003100000962,9.999999172477134,0.49999984499999994,0,0
gait_20260909_144907_fd57c06d30d3,/MOTION_INFO,drdds/msg/MotionInfo,2400,2400,0.011276332,119.961275885,0.020802113,119.965838208,1788936547161887433,1788936667111886986,1788936547171413214,1788936667116449309,"{""min"": 0.049764171, ""median"": 0.05000013, ""p95"": 0.0500138681, ""max"": 0.050230547}","{""min"": 0.003119328, ""median"": 0.049945942, ""p95"": 0.051938261099999994, ""max"": 0.324857655}","{""min"": 0.00145178, ""median"": 0.002794342, ""p95"": 0.007434027149999789, ""max"": 0.276861055}",0,0,0,19.999948000135202,20.000000074531055,0.25000065,0,2
gait_20260909_144907_fd57c06d30d3,/STEER,drdds/msg/Steer,1113,1113,6.422686518,123.539345253,3.315058264,119.939559549,1788936553573297619,1788936670689956354,1788936550465669365,1788936667090170650,"{""min"": 3.4834e-05, ""median"": 8.09865e-05, ""p95"": 1.0000806591, ""max"": 16.016369629}","{""min"": 0.004811809, ""median"": 0.08064408, ""p95"": 0.09521193000000001, ""max"": 16.372987342}","{""min"": -3.680014147, ""median"": -3.102989663, ""p95"": -2.6744678058, ""max"": -2.573009195}",0,0,0,12347.736968507097,9.494806392283815,0.1,97,15
gait_20260909_144907_fd57c06d30d3,/rslidar_front/points,sensor_msgs/msg/PointCloud2,1200,1200,-0.050600944,119.849410834,0.066129413,119.97054096,1788936547100010157,1788936667000021935,1788936547216740514,1788936667121152061,"{""min"": 0.095238208, ""median"": 0.099997997, ""p95"": 0.1003268008, ""max"": 0.104852915}","{""min"": 0.017429348, ""median"": 0.099994126, ""p95"": 0.10994082279999995, ""max"": 0.323070421}","{""min"": 0.116381652, ""median"": 0.12247709, ""p95"": 0.1314911372, ""max"": 0.345490531}",0,0,0,10.00020030401209,9.999999017681498,0.499989985,0,0
gait_20260909_144907_fd57c06d30d3,/rslidar_rear/points,sensor_msgs/msg/PointCloud2,1200,1200,-0.050650297,119.849366964,0.075937926,119.978287265,1788936547099960804,1788936666999978065,1788936547226549027,1788936667128898366,"{""min"": 0.095248222, ""median"": 0.099997044, ""p95"": 0.10033116339999999, ""max"": 0.10489583}","{""min"": 0.016096771, ""median"": 0.100088709, ""p95"": 0.11025423629999999, ""max"": 0.326799445}","{""min"": 0.112227048, ""median"": 0.1268159995, ""p95"": 0.13186734255000002, ""max"": 0.353148039}",0,0,0,10.000295608738195,9.99999856038386,0.49998521999999995,0,0
gait_20260909_145241_9cae0ba51169,/HANDLE_STEER,drdds/msg/Steer,59,59,5.064863563,12.07143466,1.749542591,8.318959332,1788936766786334395,1788936773792905492,1788936763471013423,1788936770040430164,"{""min"": 6.9759e-05, ""median"": 8.0917e-05, ""p95"": 1.00008395675, ""max"": 2.001381683}","{""min"": 0.005710434, ""median"": 0.080767852, ""p95"": 0.16068919094999998, ""max"": 1.382619761}","{""min"": -3.756843847, ""median"": -3.240764465, ""p95"": -2.8481322916, ""max"": -2.787767786}",0,0,0,12358.342499104021,8.277943547141602,0.1,6,2
gait_20260909_145241_9cae0ba51169,/IMU,sensor_msgs/msg/Imu,3341,3341,-0.023470832,16.676529168,0.010389473,16.687806325,1788936761698000000,1788936778398000000,1788936761731860305,1788936778409277157,"{""min"": 0.005, ""median"": 0.005, ""p95"": 0.005, ""max"": 0.005}","{""min"": 0.000884864, ""median"": 0.004974752000000001, ""p95"": 0.00812998394999998, ""max"": 0.077666327}","{""min"": 0.009316438, ""median"": 0.011477437, ""p95"": 0.041389414, ""max"": 0.102753443}",0,0,0,200.0,200.0,0.1,0,0
