run_id,obstacle_distance_m,heading_error_deg,lateral_error_m,cmd_forward_mps,cmd_lateral,cmd_yaw,forward_speed_mps,lateral_speed_mps,yaw_rate_dps,tilt_deg
general_d055_yawm12_v010,0.55,-12.0,0.0,0.10,0.0,0.0,0.10,0.0,0.0,0.0
general_d055_yaw0_v010,0.55,0.0,0.0,0.10,0.0,0.0,0.10,0.0,0.0,0.0
general_d055_yawp12_v010,0.55,12.0,0.0,0.10,0.0,0.0,0.10,0.0,0.0,0.0
general_d060_yawm12_v010,0.60,-12.0,0.0,0.10,0.0,0.0,0.10,0.0,0.0,0.0
general_d060_yaw0_v010,0.60,0.0,0.0,0.10,0.0,0.0,0.10,0.0,0.0,0.0
general_d060_yawp12_v010,0.60,12.0,0.0,0.10,0.0,0.0,0.10,0.0,0.0,0.0
general_d065_yawm12_v010,0.65,-12.0,0.0,0.10,0.0,0.0,0.10,0.0,0.0,0.0
general_d065_yaw0_v010,0.65,0.0,0.0,0.10,0.0,0.0,0.10,0.0,0.0,0.0
general_d065_yawp12_v010,0.65,12.0,0.0,0.10,0.0,0.0,0.10,0.0,0.0,0.0
general_d055_yawm12_v015,0.55,-12.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0
general_d055_yaw0_v015,0.55,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0
general_d055_yawp12_v015,0.55,12.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0
general_d060_yawm12_v015,0.60,-12.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0
general_d060_yaw0_v015,0.60,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0
general_d060_yawp12_v015,0.60,12.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0
general_d065_yawm12_v015,0.65,-12.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0
general_d065_yaw0_v015,0.65,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0
general_d065_yawp12_v015,0.65,12.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0
general_d055_yawm12_v020,0.55,-12.0,0.0,0.20,0.0,0.0,0.20,0.0,0.0,0.0
general_d055_yaw0_v020,0.55,0.0,0.0,0.20,0.0,0.0,0.20,0.0,0.0,0.0
general_d055_yawp12_v020,0.55,12.0,0.0,0.20,0.0,0.0,0.20,0.0,0.0,0.0
general_d060_yawm12_v020,0.60,-12.0,0.0,0.20,0.0,0.0,0.20,0.0,0.0,0.0
general_d060_yaw0_v020,0.60,0.0,0.0,0.20,0.0,0.0,0.20,0.0,0.0,0.0
general_d060_yawp12_v020,0.60,12.0,0.0,0.20,0.0,0.0,0.20,0.0,0.0,0.0
general_d065_yawm12_v020,0.65,-12.0,0.0,0.20,0.0,0.0,0.20,0.0,0.0,0.0
general_d065_yaw0_v020,0.65,0.0,0.0,0.20,0.0,0.0,0.20,0.0,0.0,0.0
general_d065_yawp12_v020,0.65,12.0,0.0,0.20,0.0,0.0,0.20,0.0,0.0,0.0
general_d055_yawm12_v025,0.55,-12.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0
general_d055_yaw0_v025,0.55,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0
general_d055_yawp12_v025,0.55,12.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0
general_d060_yawm12_v025,0.60,-12.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0
general_d060_yaw0_v025,0.60,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0
general_d060_yawp12_v025,0.60,12.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0
general_d065_yawm12_v025,0.65,-12.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0
general_d065_yaw0_v025,0.65,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0
general_d065_yawp12_v025,0.65,12.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0
general_d055_yawm12_v030,0.55,-12.0,0.0,0.30,0.0,0.0,0.30,0.0,0.0,0.0
general_d055_yaw0_v030,0.55,0.0,0.0,0.30,0.0,0.0,0.30,0.0,0.0,0.0
general_d055_yawp12_v030,0.55,12.0,0.0,0.30,0.0,0.0,0.30,0.0,0.0,0.0
general_d060_yawm12_v030,0.60,-12.0,0.0,0.30,0.0,0.0,0.30,0.0,0.0,0.0
general_d060_yaw0_v030,0.60,0.0,0.0,0.30,0.0,0.0,0.30,0.0,0.0,0.0
general_d060_yawp12_v030,0.60,12.0,0.0,0.30,0.0,0.0,0.30,0.0,0.0,0.0
general_d065_yawm12_v030,0.65,-12.0,0.0,0.30,0.0,0.0,0.30,0.0,0.0,0.0
general_d065_yaw0_v030,0.65,0.0,0.0,0.30,0.0,0.0,0.30,0.0,0.0,0.0
general_d065_yawp12_v030,0.65,12.0,0.0,0.30,0.0,0.0,0.30,0.0,0.0,0.0
