recording_id,time_basis,start_s,end_s,state,gait
gait_20260909_144907_fd57c06d30d3,source_stamp_minus_manifest_started_wall_ns,0.011276332,119.961275885,17,4097
gait_20260909_145241_9cae0ba51169,source_stamp_minus_manifest_started_wall_ns,-0.009582841,16.640417582,17,4097
gait_20260909_145331_616f9d8038d9,source_stamp_minus_manifest_started_wall_ns,0.02351896,9.143523543,17,4097
gait_20260909_145331_616f9d8038d9,source_stamp_minus_manifest_started_wall_ns,9.143523543,29.54351826,17,4099
gait_20260909_145331_616f9d8038d9,source_stamp_minus_manifest_started_wall_ns,29.54351826,38.063517782,17,4097
gait_20260909_145331_616f9d8038d9,source_stamp_minus_manifest_started_wall_ns,38.063517782,59.003517636,17,4099
gait_20260909_145331_616f9d8038d9,source_stamp_minus_manifest_started_wall_ns,59.003517636,64.743517921,17,4097
gait_20260909_145331_616f9d8038d9,source_stamp_minus_manifest_started_wall_ns,64.743517921,93.143525567,17,4099
gait_20260909_145914_2e0541078764,source_stamp_minus_manifest_started_wall_ns,0.029185894,39.429192103,17,4097
gait_20260909_150146_9b19dc6690ec,source_stamp_minus_manifest_started_wall_ns,0.005363661,6.565350445,17,4097
gait_20260909_150146_9b19dc6690ec,source_stamp_minus_manifest_started_wall_ns,6.565350445,8.945357392,17,4099
gait_20260909_150146_9b19dc6690ec,source_stamp_minus_manifest_started_wall_ns,8.945357392,31.125349038,17,4098
gait_20260909_150146_9b19dc6690ec,source_stamp_minus_manifest_started_wall_ns,31.125349038,38.125348283,17,4097
gait_20260909_150146_9b19dc6690ec,source_stamp_minus_manifest_started_wall_ns,38.125348283,48.298367346,17,4098
gait_20260909_150146_9b19dc6690ec,source_stamp_minus_manifest_started_wall_ns,48.298367346,67.538351113,17,4097
gait_20260909_150146_9b19dc6690ec,source_stamp_minus_manifest_started_wall_ns,67.538351113,72.598370455,17,4098
gait_20260909_150146_9b19dc6690ec,source_stamp_minus_manifest_started_wall_ns,72.598370455,86.138349898,17,4097
gait_20260909_150146_9b19dc6690ec,source_stamp_minus_manifest_started_wall_ns,86.138349898,90.838349871,17,4098
gait_20260909_150146_9b19dc6690ec,source_stamp_minus_manifest_started_wall_ns,90.838349871,103.578356109,17,4097
gait_20260909_150146_9b19dc6690ec,source_stamp_minus_manifest_started_wall_ns,103.578356109,109.73835002,17,4098
gait_20260909_150146_9b19dc6690ec,source_stamp_minus_manifest_started_wall_ns,109.73835002,114.588462965,17,4097
gait_20260909_150705_4fe2b5f8eebd,source_stamp_minus_manifest_started_wall_ns,-0.002319689,7.537683236,17,4097
gait_20260909_150705_4fe2b5f8eebd,source_stamp_minus_manifest_started_wall_ns,7.537683236,22.657680963,17,4098
gait_20260909_150705_4fe2b5f8eebd,source_stamp_minus_manifest_started_wall_ns,22.657680963,25.577681965,17,4097
gait_20260909_150705_4fe2b5f8eebd,source_stamp_minus_manifest_started_wall_ns,25.577681965,32.057705699,17,4098
gait_20260909_150705_4fe2b5f8eebd,source_stamp_minus_manifest_started_wall_ns,32.057705699,37.697680933,17,4097
gait_20260909_150705_4fe2b5f8eebd,source_stamp_minus_manifest_started_wall_ns,37.697680933,47.357684528,17,4098
gait_20260909_150705_4fe2b5f8eebd,source_stamp_minus_manifest_started_wall_ns,47.357684528,57.957689343,17,4097
gait_20260909_150705_4fe2b5f8eebd,source_stamp_minus_manifest_started_wall_ns,57.957689343,58.617682951,17,4099
gait_20260909_150705_4fe2b5f8eebd,source_stamp_minus_manifest_started_wall_ns,58.617682951,80.517685652,17,4098
gait_20260909_150705_4fe2b5f8eebd,source_stamp_minus_manifest_started_wall_ns,80.517685652,93.217685136,17,4097
gait_20260909_150921_9ed8457a8250,source_stamp_minus_manifest_started_wall_ns,-0.00166689,8.388334745,17,4097
gait_20260909_150921_9ed8457a8250,source_stamp_minus_manifest_started_wall_ns,8.388334745,13.968333972,17,4098
gait_20260909_150921_9ed8457a8250,source_stamp_minus_manifest_started_wall_ns,13.968333972,16.812668758,17,4097
gait_20260909_150921_9ed8457a8250,source_stamp_minus_manifest_started_wall_ns,16.812668758,18.814331793,2,0
gait_20260909_150921_9ed8457a8250,source_stamp_minus_manifest_started_wall_ns,18.814331793,63.714328387,0,0
gait_20260909_151135_f45a816f4062,source_stamp_minus_manifest_started_wall_ns,0.010515733,9.690527955,17,4097
gait_20260909_151135_f45a816f4062,source_stamp_minus_manifest_started_wall_ns,9.690527955,15.790515526,17,4098
gait_20260909_151135_f45a816f4062,source_stamp_minus_manifest_started_wall_ns,15.790515526,26.240526368,17,4097
gait_20260909_151220_d3ace6be729a,source_stamp_minus_manifest_started_wall_ns,0.017397214,5.257389782,17,4097
gait_20260909_151220_d3ace6be729a,source_stamp_minus_manifest_started_wall_ns,5.257389782,13.30738855,17,4098
gait_20260909_151538_271bf7a9d4d2,source_stamp_minus_manifest_started_wall_ns,0.034291436,24.834292636,17,4097
