recording_id,topic,receive_start_s,end_s,source_median_hz,source_dt_p95_s
gait_20260909_144907_fd57c06d30d3,/HANDLE_STEER,0.0,5.0,12319.291394358997,0.9500804804999994
gait_20260909_144907_fd57c06d30d3,/HANDLE_STEER,5.0,10.0,12322.403361551636,1.000076454
gait_20260909_144907_fd57c06d30d3,/HANDLE_STEER,10.0,15.0,12347.050906890889,1.000081083
gait_20260909_144907_fd57c06d30d3,/HANDLE_STEER,15.0,20.0,12354.983382547349,1.0000783518499998
gait_20260909_144907_fd57c06d30d3,/HANDLE_STEER,20.0,25.0,12333.193557139686,1.0000799236
gait_20260909_144907_fd57c06d30d3,/HANDLE_STEER,25.0,30.0,12365.907193866511,1.00008090835
gait_20260909_144907_fd57c06d30d3,/HANDLE_STEER,30.0,35.0,12334.866968459746,1.0000799513
gait_20260909_144907_fd57c06d30d3,/HANDLE_STEER,35.0,40.0,12353.22820736129,1.00008152935
gait_20260909_144907_fd57c06d30d3,/HANDLE_STEER,40.0,45.0,12340.87978131961,1.0000798789
gait_20260909_144907_fd57c06d30d3,/HANDLE_STEER,45.0,50.0,12334.866968459746,1.000080651
gait_20260909_144907_fd57c06d30d3,/HANDLE_STEER,50.0,55.0,12358.800701979879,1.0000797717999999
gait_20260909_144907_fd57c06d30d3,/HANDLE_STEER,55.0,60.0,12332.433065719535,1.0000803114
gait_20260909_144907_fd57c06d30d3,/HANDLE_STEER,60.0,65.0,12343.545560026663,1.0000804331
gait_20260909_144907_fd57c06d30d3,/HANDLE_STEER,65.0,70.0,12350.253180190193,1.0000806249999998
gait_20260909_144907_fd57c06d30d3,/HANDLE_STEER,70.0,75.0,12361.779849062668,1.00008025315
gait_20260909_144907_fd57c06d30d3,/HANDLE_STEER,75.0,80.0,12363.690314285008,1.0000807459999999
gait_20260909_144907_fd57c06d30d3,/HANDLE_STEER,80.0,85.0,12284.861365339491,1.0000831162
gait_20260909_144907_fd57c06d30d3,/HANDLE_STEER,95.0,100.0,12363.613884338392,1.0000802404
gait_20260909_144907_fd57c06d30d3,/HANDLE_STEER,100.0,105.0,12337.14962495065,1.000082179
gait_20260909_144907_fd57c06d30d3,/HANDLE_STEER,105.0,110.0,12353.380811493584,1.00008074355
gait_20260909_144907_fd57c06d30d3,/HANDLE_STEER,110.0,115.0,12339.88992818184,1.000079045
gait_20260909_144907_fd57c06d30d3,/HANDLE_STEER,115.0,120.0,12384.054291694016,1.000080258
gait_20260909_144907_fd57c06d30d3,/IMU,0.0,5.0,200.0,0.005
gait_20260909_144907_fd57c06d30d3,/IMU,5.0,10.0,200.0,0.005
gait_20260909_144907_fd57c06d30d3,/IMU,10.0,15.0,200.0,0.005
gait_20260909_144907_fd57c06d30d3,/IMU,15.0,20.0,200.0,0.005
gait_20260909_144907_fd57c06d30d3,/IMU,20.0,25.0,200.0,0.005
gait_20260909_144907_fd57c06d30d3,/IMU,25.0,30.0,200.0,0.005
gait_20260909_144907_fd57c06d30d3,/IMU,30.0,35.0,200.0,0.005
gait_20260909_144907_fd57c06d30d3,/IMU,35.0,40.0,200.0,0.005
gait_20260909_144907_fd57c06d30d3,/IMU,40.0,45.0,200.0,0.005
gait_20260909_144907_fd57c06d30d3,/IMU,45.0,50.0,200.0,0.005
gait_20260909_144907_fd57c06d30d3,/IMU,50.0,55.0,200.0,0.005
gait_20260909_144907_fd57c06d30d3,/IMU,55.0,60.0,200.0,0.005
gait_20260909_144907_fd57c06d30d3,/IMU,60.0,65.0,200.0,0.005
gait_20260909_144907_fd57c06d30d3,/IMU,65.0,70.0,200.0,0.005
gait_20260909_144907_fd57c06d30d3,/IMU,70.0,75.0,200.0,0.005
gait_20260909_144907_fd57c06d30d3,/IMU,75.0,80.0,200.0,0.005
gait_20260909_144907_fd57c06d30d3,/IMU,80.0,85.0,200.0,0.005
gait_20260909_144907_fd57c06d30d3,/IMU,85.0,90.0,200.0,0.005
gait_20260909_144907_fd57c06d30d3,/IMU,90.0,95.0,200.0,0.005
gait_20260909_144907_fd57c06d30d3,/IMU,95.0,100.0,200.0,0.005
gait_20260909_144907_fd57c06d30d3,/IMU,100.0,105.0,200.0,0.005
gait_20260909_144907_fd57c06d30d3,/IMU,105.0,110.0,200.0,0.005
gait_20260909_144907_fd57c06d30d3,/IMU,110.0,115.0,200.0,0.005
gait_20260909_144907_fd57c06d30d3,/IMU,115.0,120.0,200.0,0.005
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA,0.0,5.0,199.9983200141119,0.0050125539
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA,5.0,10.0,199.9983200141119,0.00500939055
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA,10.0,15.0,200.0099604960327,0.0050111396
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA,15.0,20.0,200.0041400856998,0.005010834
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA,20.0,25.0,200.0099604960327,0.005010542
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA,25.0,30.0,200.0099604960327,0.00501143155
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA,30.0,35.0,199.9983200141119,0.00501141705
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA,35.0,40.0,200.0099604960327,0.00500995805
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA,40.0,45.0,200.0041400856998,0.0050105565999999995
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA,45.0,50.0,200.0099604960327,0.00501172355
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA,50.0,55.0,200.0099604960327,0.00501115515
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA,55.0,60.0,199.9983200141119,0.0050120447
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA,60.0,65.0,200.0099604960327,0.005014625
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA,65.0,70.0,199.9983200141119,0.00501054205
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA,70.0,75.0,199.9983200141119,0.0050131971
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA,75.0,80.0,200.0099604960327,0.00501583575
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA,80.0,85.0,199.9983200141119,0.005014626
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA,85.0,90.0,199.9983200141119,0.0050114471
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA,90.0,95.0,199.9983200141119,0.00501259855
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA,95.0,100.0,199.9983200141119,0.005011417
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA,100.0,105.0,200.0099604960327,0.00501141705
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA,105.0,110.0,200.0099604960327,0.0050087920499999996
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA,110.0,115.0,200.0041400856998,0.005009959
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA,115.0,120.0,199.9983200141119,0.005009959
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA_10HZ,0.0,5.0,10.000046900219962,0.10000726
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA_10HZ,5.0,10.0,9.99990110097811,0.1000146392
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA_10HZ,10.0,15.0,9.999959450164429,0.1000140565
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA_10HZ,15.0,20.0,9.999944800304702,0.10000919925
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA_10HZ,20.0,25.0,9.999974000067601,0.10000742005
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA_10HZ,25.0,30.0,9.999988600012996,0.100006385
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA_10HZ,30.0,35.0,10.000003200001025,0.10000466364999999
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA_10HZ,35.0,40.0,10.000017750031507,0.1000099725
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA_10HZ,40.0,45.0,10.000076050578365,0.100007552
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA_10HZ,45.0,50.0,10.000017750031507,0.10001652045000001
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA_10HZ,50.0,55.0,10.000017750031507,0.1000138959
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA_10HZ,55.0,60.0,9.999857352034873,0.1000106577
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA_10HZ,60.0,65.0,9.99998855001311,0.10000981245
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA_10HZ,65.0,70.0,9.99994485030415,0.1000139241
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA_10HZ,70.0,75.0,9.999974000067601,0.10001853325
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA_10HZ,75.0,80.0,10.000017750031507,0.1000106138
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA_10HZ,80.0,85.0,10.000017750031507,0.10001109505
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA_10HZ,85.0,90.0,9.99998855001311,0.1000107171
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA_10HZ,90.0,95.0,10.00003230010433,0.10000845565
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA_10HZ,95.0,100.0,9.999974000067601,0.100008135
gait_20260909_144907_fd57c06d30d3,/JOINTS_DATA_10HZ,100.0,105.0,9.999959450164429,0.10000766814999999
