recording_id,raw_files,passage_id,segment_id,start_s,end_s,time_basis,anchor_ns,start_source_ns,end_source_ns,terrain,action_phase,direction,obstacle_id,flight_id,platform_id,outcome,evidence,visual_evidence,judgement_status,human_review_status,expert_sample_status,notes,preview
gait_20260909_144907_fd57c06d30d3,"[""D:\\S10Data\\050\\2026-09-09\\gait_20260909_144907_fd57c06d30d3\\bag\\bag_0.db3""]",gait_20260909_144907_fd57c06d30d3-P01,gait_20260909_144907_fd57c06d30d3-S001,0.0,3.5,source_stamp_minus_manifest_started_wall_ns,1788936547150611101,1788936547150611101,1788936550650611101,flat_candidate,等待候选,unknown,,,,uncertain,"{""automatic_class"": ""等待候选"", ""bin_s"": 0.5, ""pitch_median_deg"": 1.78, ""max_abs_roll_pitch_deg"": 1.82, ""leg_dq_rms_median"": 0.007, ""wheel_dq_abs_median"": 0.015}","[""模型检查完整信号图与12帧点云速览：主要为连续近水平地面；约4–23s报告vx多次正负切换，24–58s和60–82s有关节周期运动/转向，82–98s近静止。仅确认信号与抽样地面形态，不能确认每次移动的完成条件。""]",model_visual_checked_candidate,pending,not_assessed,边界约 ±0.5–1s；未知地面可能为平地、平台或障碍上的停顿；整段 outcome 未传播。,viewer.html?id=gait_20260909_144907_fd57c06d30d3&t=0.000&end=3.500
gait_20260909_144907_fd57c06d30d3,"[""D:\\S10Data\\050\\2026-09-09\\gait_20260909_144907_fd57c06d30d3\\bag\\bag_0.db3""]",gait_20260909_144907_fd57c06d30d3-P01,gait_20260909_144907_fd57c06d30d3-S002,3.5,23.5,source_stamp_minus_manifest_started_wall_ns,1788936547150611101,1788936550650611101,1788936570650611101,flat_candidate,行走/调整候选,unknown,,,,uncertain,"{""automatic_class"": ""行走/调整候选"", ""bin_s"": 0.5, ""pitch_median_deg"": 1.58, ""max_abs_roll_pitch_deg"": 5.39, ""leg_dq_rms_median"": 0.108, ""wheel_dq_abs_median"": 21.05}","[""模型检查完整信号图与12帧点云速览：主要为连续近水平地面；约4–23s报告vx多次正负切换，24–58s和60–82s有关节周期运动/转向，82–98s近静止。仅确认信号与抽样地面形态，不能确认每次移动的完成条件。""]",model_visual_checked_candidate,pending,not_assessed,边界约 ±0.5–1s；未知地面可能为平地、平台或障碍上的停顿；整段 outcome 未传播。,viewer.html?id=gait_20260909_144907_fd57c06d30d3&t=3.500&end=23.500
gait_20260909_144907_fd57c06d30d3,"[""D:\\S10Data\\050\\2026-09-09\\gait_20260909_144907_fd57c06d30d3\\bag\\bag_0.db3""]",gait_20260909_144907_fd57c06d30d3-P01,gait_20260909_144907_fd57c06d30d3-S003,23.5,50.0,source_stamp_minus_manifest_started_wall_ns,1788936547150611101,1788936570650611101,1788936597150611101,flat_candidate,转向候选,unknown,,,,uncertain,"{""automatic_class"": ""转向候选"", ""bin_s"": 0.5, ""pitch_median_deg"": -1.65, ""max_abs_roll_pitch_deg"": 4.84, ""leg_dq_rms_median"": 1.442, ""wheel_dq_abs_median"": 2.786}","[""模型检查完整信号图与12帧点云速览：主要为连续近水平地面；约4–23s报告vx多次正负切换，24–58s和60–82s有关节周期运动/转向，82–98s近静止。仅确认信号与抽样地面形态，不能确认每次移动的完成条件。""]",model_visual_checked_candidate,pending,not_assessed,边界约 ±0.5–1s；未知地面可能为平地、平台或障碍上的停顿；整段 outcome 未传播。,viewer.html?id=gait_20260909_144907_fd57c06d30d3&t=23.500&end=50.000
gait_20260909_144907_fd57c06d30d3,"[""D:\\S10Data\\050\\2026-09-09\\gait_20260909_144907_fd57c06d30d3\\bag\\bag_0.db3""]",gait_20260909_144907_fd57c06d30d3-P01,gait_20260909_144907_fd57c06d30d3-S004,50.0,51.0,source_stamp_minus_manifest_started_wall_ns,1788936547150611101,1788936597150611101,1788936598150611101,flat_candidate,行走/调整候选,unknown,,,,uncertain,"{""automatic_class"": ""行走/调整候选"", ""bin_s"": 0.5, ""pitch_median_deg"": 0.52, ""max_abs_roll_pitch_deg"": 3.27, ""leg_dq_rms_median"": 0.83, ""wheel_dq_abs_median"": 1.087}","[""模型检查完整信号图与12帧点云速览：主要为连续近水平地面；约4–23s报告vx多次正负切换，24–58s和60–82s有关节周期运动/转向，82–98s近静止。仅确认信号与抽样地面形态，不能确认每次移动的完成条件。""]",model_visual_checked_candidate,pending,not_assessed,边界约 ±0.5–1s；未知地面可能为平地、平台或障碍上的停顿；整段 outcome 未传播。,viewer.html?id=gait_20260909_144907_fd57c06d30d3&t=50.000&end=51.000
gait_20260909_144907_fd57c06d30d3,"[""D:\\S10Data\\050\\2026-09-09\\gait_20260909_144907_fd57c06d30d3\\bag\\bag_0.db3""]",gait_20260909_144907_fd57c06d30d3-P01,gait_20260909_144907_fd57c06d30d3-S005,51.0,58.5,source_stamp_minus_manifest_started_wall_ns,1788936547150611101,1788936598150611101,1788936605650611101,flat_candidate,转向候选,unknown,,,,uncertain,"{""automatic_class"": ""转向候选"", ""bin_s"": 0.5, ""pitch_median_deg"": -1.46, ""max_abs_roll_pitch_deg"": 3.22, ""leg_dq_rms_median"": 1.497, ""wheel_dq_abs_median"": 2.856}","[""模型检查完整信号图与12帧点云速览：主要为连续近水平地面；约4–23s报告vx多次正负切换，24–58s和60–82s有关节周期运动/转向，82–98s近静止。仅确认信号与抽样地面形态，不能确认每次移动的完成条件。""]",model_visual_checked_candidate,pending,not_assessed,边界约 ±0.5–1s；未知地面可能为平地、平台或障碍上的停顿；整段 outcome 未传播。,viewer.html?id=gait_20260909_144907_fd57c06d30d3&t=51.000&end=58.500
gait_20260909_144907_fd57c06d30d3,"[""D:\\S10Data\\050\\2026-09-09\\gait_20260909_144907_fd57c06d30d3\\bag\\bag_0.db3""]",gait_20260909_144907_fd57c06d30d3-P01,gait_20260909_144907_fd57c06d30d3-S006,58.5,59.0,source_stamp_minus_manifest_started_wall_ns,1788936547150611101,1788936605650611101,1788936606150611101,flat_candidate,行走/调整候选,unknown,,,,uncertain,"{""automatic_class"": ""行走/调整候选"", ""bin_s"": 0.5, ""pitch_median_deg"": 1.28, ""max_abs_roll_pitch_deg"": 2.04, ""leg_dq_rms_median"": 0.653, ""wheel_dq_abs_median"": 0.634}","[""模型检查完整信号图与12帧点云速览：主要为连续近水平地面；约4–23s报告vx多次正负切换，24–58s和60–82s有关节周期运动/转向，82–98s近静止。仅确认信号与抽样地面形态，不能确认每次移动的完成条件。""]",model_visual_checked_candidate,pending,not_assessed,边界约 ±0.5–1s；未知地面可能为平地、平台或障碍上的停顿；整段 outcome 未传播。,viewer.html?id=gait_20260909_144907_fd57c06d30d3&t=58.500&end=59.000
gait_20260909_144907_fd57c06d30d3,"[""D:\\S10Data\\050\\2026-09-09\\gait_20260909_144907_fd57c06d30d3\\bag\\bag_0.db3""]",gait_20260909_144907_fd57c06d30d3-P01,gait_20260909_144907_fd57c06d30d3-S007,59.0,60.0,source_stamp_minus_manifest_started_wall_ns,1788936547150611101,1788936606150611101,1788936607150611101,flat_candidate,等待候选,unknown,,,,uncertain,"{""automatic_class"": ""等待候选"", ""bin_s"": 0.5, ""pitch_median_deg"": 2.04, ""max_abs_roll_pitch_deg"": 2.07, ""leg_dq_rms_median"": 0.016, ""wheel_dq_abs_median"": 0.086}","[""模型检查完整信号图与12帧点云速览：主要为连续近水平地面；约4–23s报告vx多次正负切换，24–58s和60–82s有关节周期运动/转向，82–98s近静止。仅确认信号与抽样地面形态，不能确认每次移动的完成条件。""]",model_visual_checked_candidate,pending,not_assessed,边界约 ±0.5–1s；未知地面可能为平地、平台或障碍上的停顿；整段 outcome 未传播。,viewer.html?id=gait_20260909_144907_fd57c06d30d3&t=59.000&end=60.000
gait_20260909_144907_fd57c06d30d3,"[""D:\\S10Data\\050\\2026-09-09\\gait_20260909_144907_fd57c06d30d3\\bag\\bag_0.db3""]",gait_20260909_144907_fd57c06d30d3-P01,gait_20260909_144907_fd57c06d30d3-S008,60.0,82.5,source_stamp_minus_manifest_started_wall_ns,1788936547150611101,1788936607150611101,1788936629650611101,flat_candidate,行走/调整候选,unknown,,,,uncertain,"{""automatic_class"": ""行走/调整候选"", ""bin_s"": 0.5, ""pitch_median_deg"": -0.91, ""max_abs_roll_pitch_deg"": 3.88, ""leg_dq_rms_median"": 1.657, ""wheel_dq_abs_median"": 1.94}","[""模型检查完整信号图与12帧点云速览：主要为连续近水平地面；约4–23s报告vx多次正负切换，24–58s和60–82s有关节周期运动/转向，82–98s近静止。仅确认信号与抽样地面形态，不能确认每次移动的完成条件。""]",model_visual_checked_candidate,pending,not_assessed,边界约 ±0.5–1s；未知地面可能为平地、平台或障碍上的停顿；整段 outcome 未传播。,viewer.html?id=gait_20260909_144907_fd57c06d30d3&t=60.000&end=82.500
gait_20260909_144907_fd57c06d30d3,"[""D:\\S10Data\\050\\2026-09-09\\gait_20260909_144907_fd57c06d30d3\\bag\\bag_0.db3""]",gait_20260909_144907_fd57c06d30d3-P01,gait_20260909_144907_fd57c06d30d3-S009,82.5,98.5,source_stamp_minus_manifest_started_wall_ns,1788936547150611101,1788936629650611101,1788936645650611101,flat_candidate,等待候选,unknown,,,,uncertain,"{""automatic_class"": ""等待候选"", ""bin_s"": 0.5, ""pitch_median_deg"": 0.81, ""max_abs_roll_pitch_deg"": 1.26, ""leg_dq_rms_median"": 0.007, ""wheel_dq_abs_median"": 0.012}","[""模型检查完整信号图与12帧点云速览：主要为连续近水平地面；约4–23s报告vx多次正负切换，24–58s和60–82s有关节周期运动/转向，82–98s近静止。仅确认信号与抽样地面形态，不能确认每次移动的完成条件。""]",model_visual_checked_candidate,pending,not_assessed,边界约 ±0.5–1s；未知地面可能为平地、平台或障碍上的停顿；整段 outcome 未传播。,viewer.html?id=gait_20260909_144907_fd57c06d30d3&t=82.500&end=98.500
gait_20260909_144907_fd57c06d30d3,"[""D:\\S10Data\\050\\2026-09-09\\gait_20260909_144907_fd57c06d30d3\\bag\\bag_0.db3""]",gait_20260909_144907_fd57c06d30d3-P01,gait_20260909_144907_fd57c06d30d3-S010,98.5,101.5,source_stamp_minus_manifest_started_wall_ns,1788936547150611101,1788936645650611101,1788936648650611101,flat_candidate,行走/调整候选,unknown,,,,uncertain,"{""automatic_class"": ""行走/调整候选"", ""bin_s"": 0.5, ""pitch_median_deg"": -0.82, ""max_abs_roll_pitch_deg"": 3.89, ""leg_dq_rms_median"": 1.385, ""wheel_dq_abs_median"": 1.772}","[""模型检查完整信号图与12帧点云速览：主要为连续近水平地面；约4–23s报告vx多次正负切换，24–58s和60–82s有关节周期运动/转向，82–98s近静止。仅确认信号与抽样地面形态，不能确认每次移动的完成条件。""]",model_visual_checked_candidate,pending,not_assessed,边界约 ±0.5–1s；未知地面可能为平地、平台或障碍上的停顿；整段 outcome 未传播。,viewer.html?id=gait_20260909_144907_fd57c06d30d3&t=98.500&end=101.500
