recording_id,duration_s,terrain_label,parameters_recorded_unverified,recording_outcome_label,topic_count,candidate_passages,context_blocks,segments,issues,raw_path,preview
gait_20260909_144907_fd57c06d30d3,120.005768292,basic,{},unlabeled,8,1,0,15,"[""/HANDLE_STEER receive-source 中位数 -3.102s；不得按源时间直接与机身话题混合"", ""/STEER receive-source 中位数 -3.103s；不得按源时间直接与机身话题混合"", ""metadata.files 消息数 112466 与数据库实际 56233 不一致；按实际表计数""]",D:\S10Data\050\2026-09-09\gait_20260909_144907_fd57c06d30d3,viewer.html?id=gait_20260909_144907_fd57c06d30d3
gait_20260909_145241_9cae0ba51169,16.698716726999976,stairs,"{""height_cm"": 15, ""depth_cm"": 55}",unlabeled,8,1,0,7,"[""/HANDLE_STEER receive-source 中位数 -3.241s；不得按源时间直接与机身话题混合"", ""/STEER receive-source 中位数 -3.241s；不得按源时间直接与机身话题混合"", ""metadata.files 消息数 15270 与数据库实际 7635 不一致；按实际表计数""]",D:\S10Data\050\2026-09-09\gait_20260909_145241_9cae0ba51169,viewer.html?id=gait_20260909_145241_9cae0ba51169
gait_20260909_145331_616f9d8038d9,93.26002346299998,stairs,"{""height_cm"": 15, ""depth_cm"": 55}",success,9,1,0,27,"[""/GAIT 源时间缺失/非递增"", ""/HANDLE_STEER receive-source 中位数 -3.368s；不得按源时间直接与机身话题混合"", ""/STEER receive-source 中位数 -3.368s；不得按源时间直接与机身话题混合"", ""metadata.files 消息数 86864 与数据库实际 43432 不一致；按实际表计数""]",D:\S10Data\050\2026-09-09\gait_20260909_145331_616f9d8038d9,viewer.html?id=gait_20260909_145331_616f9d8038d9
gait_20260909_145914_2e0541078764,39.444364042000075,basic,{},success,8,1,0,13,"[""/HANDLE_STEER receive-source 中位数 -3.706s；不得按源时间直接与机身话题混合"", ""/STEER receive-source 中位数 -3.706s；不得按源时间直接与机身话题混合"", ""metadata.files 消息数 36600 与数据库实际 18300 不一致；按实际表计数""]",D:\S10Data\050\2026-09-09\gait_20260909_145914_2e0541078764,viewer.html?id=gait_20260909_145914_2e0541078764
gait_20260909_150146_9b19dc6690ec,114.63989696200008,ledge,"{""height_cm"": 30}",success,9,6,0,57,"[""/GAIT 源时间缺失/非递增"", ""/HANDLE_STEER receive-source 中位数 +0.395s；不得按源时间直接与机身话题混合"", ""/STEER receive-source 中位数 +0.395s；不得按源时间直接与机身话题混合"", ""metadata.files 消息数 106446 与数据库实际 53223 不一致；按实际表计数""]",D:\S10Data\050\2026-09-09\gait_20260909_150146_9b19dc6690ec,viewer.html?id=gait_20260909_150146_9b19dc6690ec
gait_20260909_150705_4fe2b5f8eebd,93.25584556100011,ledge,"{""height_cm"": 32}",success,9,5,0,45,"[""/GAIT 源时间缺失/非递增"", ""metadata.files 消息数 85804 与数据库实际 42902 不一致；按实际表计数""]",D:\S10Data\050\2026-09-09\gait_20260909_150705_4fe2b5f8eebd,viewer.html?id=gait_20260909_150705_4fe2b5f8eebd
gait_20260909_150921_9ed8457a8250,89.36710523900001,ledge,"{""height_cm"": 38}",success,9,1,1,18,"[""/GAIT 源时间缺失/非递增"", ""/IMU 接收流提前结束 63.748s（距录制末尾 25.620s）"", ""/JOINTS_DATA 接收流提前结束 63.743s（距录制末尾 25.624s）"", ""/JOINTS_DATA 5s 窗源时间采样率范围 50.0–200.0Hz（事件话题不视为掉帧）"", ""/MOTION_INFO 接收流提前结束 63.716s（距录制末尾 25.651s）"", ""/rslidar_front/points 有 1 个源时间长间隔，见 topics.csv / inventory.json"", ""/rslidar_rear/points 有 1 个源时间长间隔，见 topics.csv / inventory.json"", ""实际运动状态 2：16.813–18.814s（源时间）"", ""实际运动状态 0：18.814–63.714s（源时间）"", ""metadata.files 消息数 43756 与数据库实际 21878 不一致；按实际表计数""]",D:\S10Data\050\2026-09-09\gait_20260909_150921_9ed8457a8250,viewer.html?id=gait_20260909_150921_9ed8457a8250
gait_20260909_151135_f45a816f4062,26.31858701400006,ledge,"{""height_cm"": 38}",success,9,1,0,19,"[""/GAIT 源时间缺失/非递增"", ""metadata.files 消息数 24166 与数据库实际 12083 不一致；按实际表计数""]",D:\S10Data\050\2026-09-09\gait_20260909_151135_f45a816f4062,viewer.html?id=gait_20260909_151135_f45a816f4062
gait_20260909_151220_d3ace6be729a,13.335592623000139,ledge,"{""height_cm"": 38}",success,9,1,0,11,"[""/GAIT 源时间缺失/非递增"", ""metadata.files 消息数 12384 与数据库实际 6192 不一致；按实际表计数""]",D:\S10Data\050\2026-09-09\gait_20260909_151220_d3ace6be729a,viewer.html?id=gait_20260909_151220_d3ace6be729a
gait_20260909_151538_271bf7a9d4d2,24.862878365999904,basic,"{""height_cm"": 38}",failure,6,0,1,1,"[""metadata.files 消息数 22378 与数据库实际 11189 不一致；按实际表计数""]",D:\S10Data\050\2026-09-09\gait_20260909_151538_271bf7a9d4d2,viewer.html?id=gait_20260909_151538_271bf7a9d4d2
